date,state,positive,negative,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,death
2021-03-06,KS,295861.0,974686.0,235.0,50.0,22.0,4812.0
2021-03-06,KY,410184.0,0.0,591.0,171.0,72.0,4806.0
2021-03-06,LA,433045.0,5241101.0,538.0,0.0,77.0,9716.0
2021-03-06,MA,589931.0,4396764.0,687.0,176.0,114.0,16374.0
2021-03-06,MD,386610.0,3032496.0,830.0,230.0,0.0,7941.0
2021-03-06,ME,45635.0,0.0,74.0,20.0,9.0,704.0
2021-03-06,MI,656072.0,0.0,866.0,222.0,97.0,16658.0
2021-03-06,MN,489116.0,3050296.0,224.0,57.0,0.0,6546.0
2021-03-06,MO,480352.0,1875633.0,1001.0,198.0,136.0,8161.0
2021-03-06,MP,144.0,17429.0,0.0,0.0,0.0,2.0
2021-03-06,MS,297321.0,1459374.0,419.0,89.0,47.0,6805.0
2021-03-06,MT,100842.0,0.0,63.0,12.0,6.0,1381.0
2021-03-06,NC,872176.0,0.0,1179.0,309.0,0.0,11502.0
2021-03-06,ND,100357.0,306021.0,21.0,3.0,0.0,1478.0
2021-03-06,NE,202653.0,770586.0,136.0,0.0,0.0,2113.0
2021-03-06,NH,76695.0,579186.0,90.0,0.0,0.0,1181.0
2021-03-06,NJ,810090.0,10186941.0,1862.0,382.0,233.0,23557.0
2021-03-06,NM,186742.0,0.0,148.0,0.0,0.0,3796.0
2021-03-06,NV,295460.0,1129929.0,399.0,87.0,48.0,5036.0
2021-03-06,NY,1674380.0,0.0,4954.0,1012.0,694.0,38970.0
2021-03-06,OH,977736.0,0.0,922.0,273.0,188.0,17656.0
2021-03-06,OK,428536.0,3146300.0,346.0,100.0,0.0,4534.0
2021-03-06,OR,156884.0,0.0,158.0,32.0,12.0,2293.0
2021-03-06,PA,946985.0,3935532.0,1513.0,314.0,171.0,24317.0
2021-03-06,PR,101327.0,305972.0,147.0,24.0,18.0,2059.0
2021-03-06,RI,128516.0,676149.0,141.0,25.0,16.0,2547.0
2021-03-06,SC,524457.0,4631323.0,623.0,157.0,86.0,8719.0
2021-03-06,SD,113378.0,314016.0,74.0,10.0,7.0,1898.0
2021-03-06,TN,782206.0,0.0,879.0,223.0,127.0,11543.0
2021-03-06,TX,2683865.0,0.0,4921.0,1503.0,0.0,44367.0
2021-03-06,UT,374438.0,1557089.0,216.0,77.0,0.0,1975.0
2021-03-06,VA,584537.0,0.0,1164.0,263.0,160.0,9519.0
2021-03-06,VI,2714.0,46167.0,0.0,0.0,0.0,25.0
2021-03-06,VT,15964.0,319417.0,26.0,2.0,0.0,208.0
2021-03-06,WA,343868.0,0.0,431.0,98.0,30.0,5041.0
2021-03-06,WI,621277.0,2644343.0,260.0,77.0,0.0,7102.0
2021-03-06,WV,133290.0,0.0,196.0,56.0,27.0,2323.0
2021-03-06,WY,54764.0,182264.0,21.0,0.0,0.0,682.0
2021-03-05,AK,56886.0,0.0,33.0,0.0,2.0,305.0
2021-03-05,AL,498887.0,1924758.0,526.0,0.0,0.0,10122.0
2021-03-05,AR,324326.0,2472738.0,359.0,153.0,86.0,5283.0
2021-03-05,AS,0.0,2140.0,0.0,0.0,0.0,0.0
2021-03-05,AZ,823384.0,3050890.0,1043.0,325.0,154.0,16269.0
2021-03-05,CA,3493126.0,0.0,4714.0,1236.0,0.0,53448.0
